step,loss,lr,elapsed_s
3420,0.064507,9.457e-05,166.8
3440,0.064572,9.450e-05,167.6
3460,0.058761,9.442e-05,168.4
3480,0.058790,9.435e-05,169.2
3500,0.056274,9.427e-05,170.0
3520,0.057165,9.420e-05,171.3
3540,0.059295,9.412e-05,172.1
3560,0.058859,9.405e-05,172.9
3580,0.058471,9.397e-05,173.7
3600,0.062723,9.389e-05,174.4
3620,0.058534,9.382e-05,175.2
3640,0.054415,9.374e-05,176.0
3660,0.056784,9.366e-05,176.8
3680,0.059656,9.358e-05,177.6
3700,0.056690,9.350e-05,178.4
3720,0.054456,9.342e-05,179.2
3740,0.053967,9.334e-05,180.0
3760,0.058765,9.326e-05,180.9
3780,0.054168,9.318e-05,181.7
3800,0.055405,9.310e-05,182.5
3820,0.057653,9.302e-05,183.3
3840,0.054763,9.293e-05,184.1
3860,0.053110,9.285e-05,184.9
3880,0.058159,9.277e-05,185.7
3900,0.049849,9.268e-05,186.5
3920,0.051879,9.260e-05,187.3
3940,0.050594,9.252e-05,188.1
3960,0.050876,9.243e-05,188.9
3980,0.050418,9.235e-05,189.7
4000,0.049186,9.226e-05,190.5
4020,0.048479,9.217e-05,191.7
4040,0.049977,9.209e-05,192.5
4060,0.057067,9.200e-05,193.3
4080,0.053327,9.191e-05,194.2
4100,0.049011,9.182e-05,195.0
4120,0.047427,9.174e-05,195.9
4140,0.047245,9.165e-05,196.7
4160,0.045937,9.156e-05,197.5
4180,0.050883,9.147e-05,198.3
4200,0.042633,9.138e-05,199.1
4220,0.047569,9.129e-05,199.9
4240,0.045978,9.119e-05,200.8
4260,0.048232,9.110e-05,201.6
4280,0.044228,9.101e-05,202.4
4300,0.043373,9.092e-05,203.2
4320,0.048309,9.083e-05,204.0
4340,0.044478,9.073e-05,204.9
4360,0.045717,9.064e-05,205.7
4380,0.041653,9.055e-05,206.5
4400,0.044615,9.045e-05,207.3
4420,0.046413,9.036e-05,208.1
4440,0.045121,9.026e-05,208.9
4460,0.044799,9.016e-05,209.8
4480,0.042388,9.007e-05,210.6
4500,0.041852,8.997e-05,211.4
4520,0.044068,8.988e-05,212.6
4540,0.045219,8.978e-05,213.5
4560,0.042708,8.968e-05,214.3
4580,0.042436,8.958e-05,215.1
4600,0.043513,8.948e-05,216.0
4620,0.040108,8.938e-05,216.8
4640,0.046833,8.928e-05,217.6
4660,0.049225,8.918e-05,218.4
4680,0.044830,8.908e-05,219.2
4700,0.044827,8.898e-05,220.1
4720,0.037306,8.888e-05,220.9
4740,0.040599,8.878e-05,221.8
4760,0.039682,8.868e-05,222.6
4780,0.039831,8.858e-05,223.4
4800,0.043206,8.847e-05,224.2
4820,0.040641,8.837e-05,225.0
4840,0.040714,8.827e-05,225.9
4860,0.038970,8.816e-05,226.7
4880,0.039148,8.806e-05,227.5
4900,0.040859,8.795e-05,228.3
4920,0.041352,8.785e-05,229.1
4940,0.038572,8.774e-05,229.9
4960,0.039366,8.764e-05,230.7
4980,0.040973,8.753e-05,231.6
5000,0.039510,8.743e-05,232.4
5020,0.035577,8.732e-05,233.6
5040,0.038229,8.721e-05,234.4
5060,0.039281,8.710e-05,235.2
5080,0.037479,8.700e-05,236.0
5100,0.040382,8.689e-05,236.9
5120,0.042547,8.678e-05,237.7
5140,0.037475,8.667e-05,238.5
5160,0.035309,8.656e-05,239.3
5180,0.038218,8.645e-05,240.1
5200,0.038265,8.634e-05,240.9
5220,0.040421,8.623e-05,241.7
5240,0.033386,8.612e-05,242.5
5260,0.033729,8.600e-05,243.4
5280,0.035977,8.589e-05,244.2
5300,0.033798,8.578e-05,245.0
5320,0.034966,8.567e-05,245.8
5340,0.035198,8.555e-05,246.6
5360,0.030751,8.544e-05,247.4
5380,0.035406,8.533e-05,248.3
5400,0.034371,8.521e-05,249.1
5420,0.033877,8.510e-05,249.9
5440,0.032236,8.498e-05,250.7
5460,0.030650,8.487e-05,251.5
