step,loss,lr,elapsed_s
3420,0.065754,9.457e-05,174.1
3440,0.064526,9.450e-05,175.0
3460,0.059520,9.442e-05,175.8
3480,0.059087,9.435e-05,176.7
3500,0.056566,9.427e-05,177.5
3520,0.058783,9.420e-05,178.8
3540,0.060464,9.412e-05,179.7
3560,0.057295,9.405e-05,180.5
3580,0.057770,9.397e-05,181.4
3600,0.060170,9.389e-05,182.2
3620,0.056404,9.382e-05,183.1
3640,0.054141,9.374e-05,183.9
3660,0.056238,9.366e-05,184.8
3680,0.060294,9.358e-05,185.6
3700,0.060024,9.350e-05,186.5
3720,0.055276,9.342e-05,187.3
3740,0.055793,9.334e-05,188.2
3760,0.059647,9.326e-05,189.0
3780,0.055304,9.318e-05,189.9
3800,0.054973,9.310e-05,190.7
3820,0.058404,9.302e-05,191.6
3840,0.055744,9.293e-05,192.4
3860,0.055015,9.285e-05,193.2
3880,0.060603,9.277e-05,194.1
3900,0.050255,9.268e-05,194.9
3920,0.050925,9.260e-05,195.8
3940,0.049604,9.252e-05,196.6
3960,0.050019,9.243e-05,197.5
3980,0.050181,9.235e-05,198.3
4000,0.049142,9.226e-05,199.1
4020,0.049217,9.217e-05,200.4
4040,0.050976,9.209e-05,201.3
4060,0.055747,9.200e-05,202.1
4080,0.053971,9.191e-05,203.0
4100,0.049237,9.182e-05,203.8
4120,0.048712,9.174e-05,204.7
4140,0.047293,9.165e-05,205.5
4160,0.047650,9.156e-05,206.4
4180,0.052216,9.147e-05,207.2
4200,0.042825,9.138e-05,208.1
4220,0.047883,9.129e-05,208.9
4240,0.046666,9.119e-05,209.7
4260,0.049348,9.110e-05,210.6
4280,0.045509,9.101e-05,211.4
4300,0.042877,9.092e-05,212.3
4320,0.046475,9.083e-05,213.1
4340,0.044298,9.073e-05,214.0
4360,0.044894,9.064e-05,214.9
4380,0.042284,9.055e-05,215.7
4400,0.046569,9.045e-05,216.5
4420,0.045363,9.036e-05,217.3
4440,0.044415,9.026e-05,218.1
4460,0.044961,9.016e-05,218.9
4480,0.042812,9.007e-05,219.7
4500,0.041270,8.997e-05,220.6
4520,0.042982,8.988e-05,221.8
4540,0.044690,8.978e-05,222.6
4560,0.042441,8.968e-05,223.4
4580,0.040891,8.958e-05,224.2
4600,0.044358,8.948e-05,225.0
4620,0.040783,8.938e-05,225.9
4640,0.042135,8.928e-05,226.7
4660,0.047607,8.918e-05,227.5
4680,0.044268,8.908e-05,228.3
4700,0.045851,8.898e-05,229.2
4720,0.037568,8.888e-05,230.0
