step,loss,lr,elapsed_s
3420,0.061728,9.457e-05,162.4
3440,0.063263,9.450e-05,163.2
3460,0.056257,9.442e-05,164.0
3480,0.054566,9.435e-05,164.8
3500,0.051232,9.427e-05,165.6
3520,0.052466,9.420e-05,166.8
3540,0.060863,9.412e-05,167.6
3560,0.053861,9.405e-05,168.5
3580,0.053440,9.397e-05,169.3
3600,0.056793,9.389e-05,170.1
3620,0.050565,9.382e-05,171.0
3640,0.050076,9.374e-05,171.8
3660,0.053205,9.366e-05,172.6
3680,0.056775,9.358e-05,173.4
3700,0.053520,9.350e-05,174.3
3720,0.050446,9.342e-05,175.1
3740,0.050140,9.334e-05,175.9
3760,0.054915,9.326e-05,176.7
3780,0.050780,9.318e-05,177.5
3800,0.051739,9.310e-05,178.3
3820,0.052724,9.302e-05,179.2
3840,0.049296,9.293e-05,180.0
3860,0.051363,9.285e-05,180.8
3880,0.053192,9.277e-05,181.7
3900,0.046526,9.268e-05,182.5
3920,0.048042,9.260e-05,183.3
3940,0.046561,9.252e-05,184.2
3960,0.047102,9.243e-05,185.0
3980,0.046781,9.235e-05,185.8
4000,0.048556,9.226e-05,186.7
4020,0.046419,9.217e-05,187.9
4040,0.047395,9.209e-05,188.7
4060,0.052108,9.200e-05,189.6
4080,0.049948,9.191e-05,190.4
4100,0.045861,9.182e-05,191.2
4120,0.043550,9.174e-05,192.0
4140,0.044892,9.165e-05,192.9
4160,0.043372,9.156e-05,193.7
4180,0.047433,9.147e-05,194.5
4200,0.039974,9.138e-05,195.3
4220,0.044291,9.129e-05,196.1
4240,0.041849,9.119e-05,196.9
4260,0.043560,9.110e-05,197.7
4280,0.040298,9.101e-05,198.5
4300,0.038371,9.092e-05,199.3
4320,0.041564,9.083e-05,200.1
4340,0.040077,9.073e-05,200.9
4360,0.039718,9.064e-05,201.7
4380,0.037833,9.055e-05,202.5
4400,0.040979,9.045e-05,203.3
4420,0.041151,9.036e-05,204.1
4440,0.040565,9.026e-05,204.9
4460,0.040433,9.016e-05,205.7
4480,0.038507,9.007e-05,206.6
4500,0.037904,8.997e-05,207.4
4520,0.037910,8.988e-05,208.6
4540,0.040166,8.978e-05,209.4
4560,0.040303,8.968e-05,210.2
4580,0.037422,8.958e-05,211.0
