step,loss,lr,elapsed_s
3420,0.062840,9.457e-05,175.9
3440,0.061795,9.450e-05,176.7
3460,0.056652,9.442e-05,177.5
3480,0.054221,9.435e-05,178.4
3500,0.050965,9.427e-05,179.2
3520,0.052587,9.420e-05,180.5
3540,0.056126,9.412e-05,181.3
3560,0.054196,9.405e-05,182.1
3580,0.055247,9.397e-05,183.0
3600,0.057985,9.389e-05,183.8
3620,0.050709,9.382e-05,184.6
3640,0.050904,9.374e-05,185.5
3660,0.054555,9.366e-05,186.3
3680,0.055697,9.358e-05,187.1
3700,0.054152,9.350e-05,188.0
3720,0.050351,9.342e-05,188.8
3740,0.049918,9.334e-05,189.6
3760,0.055303,9.326e-05,190.4
3780,0.050760,9.318e-05,191.3
3800,0.052997,9.310e-05,192.1
3820,0.052815,9.302e-05,192.9
3840,0.050714,9.293e-05,193.7
3860,0.049553,9.285e-05,194.6
3880,0.053419,9.277e-05,195.4
3900,0.046761,9.268e-05,196.2
3920,0.048678,9.260e-05,197.1
3940,0.047600,9.252e-05,197.9
3960,0.046780,9.243e-05,198.7
3980,0.046620,9.235e-05,199.6
4000,0.045911,9.226e-05,200.4
4020,0.047918,9.217e-05,201.7
4040,0.045940,9.209e-05,202.6
4060,0.053790,9.200e-05,203.4
4080,0.050541,9.191e-05,204.2
4100,0.046271,9.182e-05,205.0
4120,0.044140,9.174e-05,205.9
4140,0.044156,9.165e-05,206.7
4160,0.043056,9.156e-05,207.5
4180,0.046124,9.147e-05,208.4
4200,0.039663,9.138e-05,209.2
4220,0.044912,9.129e-05,210.0
4240,0.042745,9.119e-05,210.9
4260,0.043427,9.110e-05,211.7
4280,0.039969,9.101e-05,212.5
4300,0.040663,9.092e-05,213.3
4320,0.042922,9.083e-05,214.2
4340,0.041546,9.073e-05,215.0
4360,0.040978,9.064e-05,215.8
4380,0.037663,9.055e-05,216.7
4400,0.041098,9.045e-05,217.5
4420,0.040705,9.036e-05,218.3
4440,0.040842,9.026e-05,219.2
4460,0.041062,9.016e-05,220.0
4480,0.038368,9.007e-05,220.8
4500,0.037744,8.997e-05,221.7
4520,0.038288,8.988e-05,223.0
4540,0.041495,8.978e-05,223.8
4560,0.040652,8.968e-05,224.6
4580,0.036983,8.958e-05,225.4
4600,0.041465,8.948e-05,226.2
4620,0.037986,8.938e-05,227.0
4640,0.039679,8.928e-05,227.8
4660,0.041799,8.918e-05,228.6
4680,0.038725,8.908e-05,229.4
4700,0.042494,8.898e-05,230.2
4720,0.033892,8.888e-05,231.0
4740,0.036235,8.878e-05,231.7
4760,0.039395,8.868e-05,232.6
4780,0.039430,8.858e-05,233.3
4800,0.040509,8.847e-05,234.1
4820,0.037555,8.837e-05,234.9
4840,0.037125,8.827e-05,235.7
4860,0.035853,8.816e-05,236.5
4880,0.036518,8.806e-05,237.3
4900,0.037272,8.795e-05,238.1
4920,0.039823,8.785e-05,238.9
4940,0.036565,8.774e-05,239.7
4960,0.035242,8.764e-05,240.5
4980,0.037524,8.753e-05,241.3
5000,0.034482,8.743e-05,242.1
5020,0.033539,8.732e-05,243.4
5040,0.035692,8.721e-05,244.2
5060,0.036904,8.710e-05,245.1
5080,0.033194,8.700e-05,245.9
5100,0.035439,8.689e-05,246.7
5120,0.035650,8.678e-05,247.5
5140,0.033099,8.667e-05,248.4
5160,0.030389,8.656e-05,249.2
5180,0.035345,8.645e-05,250.0
5200,0.034307,8.634e-05,250.8
5220,0.038872,8.623e-05,251.7
5240,0.031438,8.612e-05,252.5
5260,0.031137,8.600e-05,253.3
5280,0.034861,8.589e-05,254.2
5300,0.035856,8.578e-05,255.0
5320,0.034057,8.567e-05,255.8
5340,0.032446,8.555e-05,256.6
5360,0.029696,8.544e-05,257.4
5380,0.032014,8.533e-05,258.3
5400,0.030896,8.521e-05,259.1
5420,0.030943,8.510e-05,259.9
5440,0.029914,8.498e-05,260.7
5460,0.028424,8.487e-05,261.5
5480,0.034393,8.475e-05,262.3
5500,0.030730,8.464e-05,263.2
5520,0.032327,8.452e-05,264.4
5540,0.028673,8.440e-05,265.2
5560,0.035463,8.429e-05,266.1
5580,0.030714,8.417e-05,266.9
5600,0.031225,8.405e-05,267.7
5620,0.032595,8.393e-05,268.6
5640,0.029457,8.381e-05,269.4
5660,0.031502,8.370e-05,270.2
5680,0.030981,8.358e-05,271.0
5700,0.028046,8.346e-05,271.9
5720,0.030199,8.334e-05,272.7
5740,0.028689,8.322e-05,273.5
5760,0.028970,8.310e-05,274.4
5780,0.029414,8.297e-05,275.2
5800,0.029929,8.285e-05,276.0
5820,0.027828,8.273e-05,276.9
5840,0.027934,8.261e-05,277.7
5860,0.033152,8.249e-05,278.5
5880,0.033581,8.237e-05,279.4
5900,0.031773,8.224e-05,280.2
5920,0.029690,8.212e-05,281.0
5940,0.025209,8.200e-05,281.8
5960,0.027475,8.187e-05,282.7
5980,0.025293,8.175e-05,283.5
6000,0.027769,8.162e-05,284.3
6020,0.028111,8.150e-05,285.6
6040,0.031713,8.137e-05,286.4
6060,0.031691,8.125e-05,287.3
6080,0.024131,8.112e-05,288.1
6100,0.028880,8.099e-05,288.9
6120,0.028570,8.087e-05,289.7
6140,0.030614,8.074e-05,290.5
6160,0.025356,8.061e-05,291.4
6180,0.025522,8.049e-05,292.2
6200,0.027512,8.036e-05,293.0
6220,0.029795,8.023e-05,293.8
6240,0.026587,8.010e-05,294.7
6260,0.027664,7.997e-05,295.5
6280,0.026457,7.984e-05,296.3
6300,0.023873,7.971e-05,297.2
6320,0.024907,7.958e-05,298.0
6340,0.023627,7.945e-05,298.8
6360,0.025996,7.932e-05,299.7
6380,0.022464,7.919e-05,300.5
6400,0.022239,7.906e-05,301.4
6420,0.024272,7.893e-05,302.2
6440,0.029221,7.880e-05,303.0
6460,0.025315,7.867e-05,303.9
6480,0.024734,7.854e-05,304.7
6500,0.024373,7.840e-05,305.5
6520,0.023884,7.827e-05,306.8
6540,0.023624,7.814e-05,307.6
6560,0.022029,7.800e-05,308.5
6580,0.022862,7.787e-05,309.3
6600,0.026440,7.774e-05,310.1
6620,0.023508,7.760e-05,311.0
6640,0.022857,7.747e-05,311.8
6660,0.027140,7.733e-05,312.6
6680,0.024531,7.720e-05,313.4
6700,0.022256,7.706e-05,314.3
6720,0.023847,7.693e-05,315.1
6740,0.022265,7.679e-05,315.9
6760,0.024909,7.666e-05,316.7
6780,0.021775,7.652e-05,317.6
6800,0.026990,7.638e-05,318.4
6820,0.024598,7.625e-05,319.2
6840,0.024624,7.611e-05,320.1
6860,0.023759,7.597e-05,320.9
6880,0.023352,7.583e-05,321.7
6900,0.025639,7.569e-05,322.6
6920,0.024051,7.556e-05,323.4
6940,0.027493,7.542e-05,324.2
6960,0.022739,7.528e-05,325.1
6980,0.023357,7.514e-05,325.9
7000,0.024723,7.500e-05,326.7
7020,0.022209,7.486e-05,328.1
7040,0.026821,7.472e-05,328.9
7060,0.021437,7.458e-05,329.8
7080,0.023109,7.444e-05,330.6
7100,0.022898,7.430e-05,331.4
7120,0.024193,7.416e-05,332.3
7140,0.021165,7.402e-05,333.1
7160,0.022072,7.388e-05,333.9
7180,0.020897,7.373e-05,334.8
7200,0.022612,7.359e-05,335.6
7220,0.022998,7.345e-05,336.4
7240,0.021516,7.331e-05,337.3
7260,0.021613,7.316e-05,338.1
7280,0.021257,7.302e-05,338.9
7300,0.024384,7.288e-05,339.8
7320,0.023786,7.274e-05,340.6
7340,0.023866,7.259e-05,341.5
7360,0.024840,7.245e-05,342.3
7380,0.018619,7.230e-05,343.1
7400,0.020855,7.216e-05,344.0
7420,0.020231,7.202e-05,344.8
7440,0.021417,7.187e-05,345.6
7460,0.023748,7.173e-05,346.5
7480,0.021962,7.158e-05,347.3
7500,0.024175,7.143e-05,348.1
7520,0.024827,7.129e-05,349.4
7540,0.019010,7.114e-05,350.2
7560,0.020456,7.100e-05,351.1
7580,0.021241,7.085e-05,351.9
7600,0.021363,7.070e-05,352.7
7620,0.022685,7.056e-05,353.6
7640,0.022579,7.041e-05,354.4
7660,0.019491,7.026e-05,355.3
7680,0.021083,7.012e-05,357.0
7700,0.019817,6.997e-05,357.9
7720,0.020055,6.982e-05,358.7
7740,0.020962,6.967e-05,359.6
7760,0.026270,6.952e-05,360.4
7780,0.023201,6.938e-05,361.4
7800,0.023639,6.923e-05,362.3
7820,0.021677,6.908e-05,363.1
7840,0.022504,6.893e-05,364.0
7860,0.020205,6.878e-05,364.8
7880,0.025343,6.863e-05,365.7
7900,0.021791,6.848e-05,367.3
7920,0.019054,6.833e-05,368.2
7940,0.021602,6.818e-05,369.0
7960,0.021151,6.803e-05,369.8
7980,0.019759,6.788e-05,370.7
8000,0.018320,6.773e-05,371.5
8020,0.022300,6.758e-05,372.8
8040,0.020207,6.743e-05,373.6
8060,0.019888,6.728e-05,374.4
8080,0.016796,6.713e-05,375.3
8100,0.018811,6.697e-05,376.1
8120,0.023047,6.682e-05,376.9
8140,0.017664,6.667e-05,377.8
8160,0.023785,6.652e-05,378.6
8180,0.019085,6.637e-05,379.4
8200,0.017368,6.621e-05,380.2
8220,0.018452,6.606e-05,381.1
8240,0.017529,6.591e-05,381.9
8260,0.021373,6.576e-05,382.7
8280,0.018109,6.560e-05,383.5
8300,0.018256,6.545e-05,384.4
8320,0.019621,6.530e-05,385.2
8340,0.022951,6.514e-05,386.0
8360,0.019634,6.499e-05,386.9
8380,0.019404,6.484e-05,387.7
8400,0.018116,6.468e-05,388.5
8420,0.021265,6.453e-05,389.3
8440,0.019834,6.437e-05,390.2
8460,0.018484,6.422e-05,391.0
8480,0.017379,6.407e-05,391.8
8500,0.017930,6.391e-05,392.7
8520,0.019304,6.376e-05,393.9
8540,0.019225,6.360e-05,394.9
8560,0.017098,6.345e-05,395.7
8580,0.017298,6.329e-05,396.5
8600,0.017596,6.314e-05,397.3
8620,0.018469,6.298e-05,398.2
8640,0.020013,6.282e-05,399.0
8660,0.017362,6.267e-05,399.8
8680,0.019060,6.251e-05,400.7
8700,0.018580,6.236e-05,401.5
8720,0.021028,6.220e-05,402.3
8740,0.019060,6.204e-05,403.2
8760,0.017598,6.189e-05,404.0
8780,0.017731,6.173e-05,404.8
8800,0.017563,6.157e-05,405.6
8820,0.016060,6.142e-05,406.5
8840,0.018159,6.126e-05,407.3
8860,0.019931,6.110e-05,408.1
8880,0.017476,6.095e-05,408.9
8900,0.020996,6.079e-05,409.8
8920,0.015997,6.063e-05,410.6
8940,0.015302,6.047e-05,411.4
8960,0.017781,6.032e-05,412.3
8980,0.016230,6.016e-05,413.1
9000,0.015004,6.000e-05,413.9
9020,0.016381,5.984e-05,415.7
9040,0.016112,5.969e-05,416.5
9060,0.018570,5.953e-05,417.3
9080,0.018950,5.937e-05,418.2
9100,0.018873,5.921e-05,419.0
9120,0.019809,5.905e-05,419.8
9140,0.018319,5.889e-05,420.6
9160,0.016449,5.874e-05,421.5
9180,0.019192,5.858e-05,422.3
9200,0.019086,5.842e-05,423.1
9220,0.016316,5.826e-05,423.9
9240,0.016060,5.810e-05,424.8
9260,0.016012,5.794e-05,425.6
9280,0.015647,5.778e-05,426.4
9300,0.016488,5.762e-05,427.2
9320,0.015448,5.746e-05,428.0
9340,0.014911,5.730e-05,428.9
9360,0.015498,5.714e-05,429.7
9380,0.014969,5.699e-05,430.5
9400,0.015494,5.683e-05,431.4
9420,0.016220,5.667e-05,432.2
9440,0.017600,5.651e-05,433.1
9460,0.017533,5.635e-05,433.9
9480,0.019514,5.619e-05,434.7
9500,0.017650,5.603e-05,435.6
9520,0.014800,5.587e-05,436.9
9540,0.014398,5.571e-05,437.7
9560,0.019244,5.555e-05,438.6
9580,0.016097,5.539e-05,439.4
9600,0.015236,5.523e-05,440.3
9620,0.018296,5.507e-05,441.1
9640,0.017607,5.491e-05,442.0
9660,0.016493,5.475e-05,442.8
9680,0.015687,5.459e-05,443.7
9700,0.015776,5.442e-05,444.5
9720,0.015570,5.426e-05,445.4
9740,0.013607,5.410e-05,446.2
9760,0.016306,5.394e-05,447.1
9780,0.018586,5.378e-05,447.9
9800,0.016483,5.362e-05,448.8
9820,0.017702,5.346e-05,449.6
9840,0.018579,5.330e-05,450.5
9860,0.017855,5.314e-05,451.3
9880,0.014136,5.298e-05,452.2
9900,0.016226,5.282e-05,453.0
9920,0.015090,5.266e-05,453.9
9940,0.014691,5.250e-05,454.7
9960,0.013653,5.234e-05,455.6
9980,0.015097,5.217e-05,456.4
10000,0.015198,5.201e-05,457.3
